epoch	recall@20	ndcg@20	diversity	
885	0.0651	0.0533	0.1958	
890	0.0651	0.0532	0.1957	
895	0.0652	0.0533	0.1957	
900	0.0653	0.0535	0.1958	
905	0.0650	0.0534	0.1958	
910	0.0648	0.0533	0.1958	
915	0.0649	0.0532	0.1956	
920	0.0650	0.0533	0.1960	
925	0.0649	0.0533	0.1956	
930	0.0649	0.0533	0.1954	
935	0.0651	0.0534	0.1957	
940	0.0651	0.0534	0.1957	
945	0.0653	0.0535	0.1958	
950	0.0652	0.0535	0.1957	
955	0.0654	0.0535	0.1959	
960	0.0652	0.0536	0.1961	
965	0.0653	0.0536	0.1955	
970	0.0655	0.0538	0.1957	
975	0.0651	0.0535	0.1959	
980	0.0650	0.0534	0.1958	
985	0.0651	0.0534	0.1956	
990	0.0648	0.0533	0.1962	
995	0.0649	0.0534	0.1959	
1000	0.0652	0.0535	0.1959	
